"Assembly"	"Accesion"	"Region"	"NRPS"	"NRP.metallophore"	"NIS"	"Metallophore"	"Span"	"ContigEdge"	"Taxonomy"	"Species"	"Orn_monoox"	"IBH_Asp"	"EntC"	"EntA"	"Lys_monoox"	"SalSyn"	"IPL"	"Cy_tandem"	"VibH_like"	"TBH_Asp"	"PvdO"	"PvdP"	"IBH_His"	"KtzT"	"MetRS.like"	"VbsL"	"FbnL"	"FbnM"	"SBH_Asp"	"GrbD"	"GrbE"	"CyanoBH_Asp1"	"CyanoBH_Asp2"	"X"	"TonB_dep_Rec"	"Peripla_BP_2"	"FecCD"	"TRANSPORT"	"CATECHOL"	"GRAMININE"	"DMAQ"	"HYDROXAMATE"	"SALICYLATE"	"OHASP"	"OHHIS"	"PYOVERDINE"
"GCF_002354875.1_NZ_CP023445.1.region006"	"GCF_002354875.1"	"NZ_CP023445.1"	"region006"	TRUE	TRUE	FALSE	TRUE	"3028199..3188329"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Actinosynnema"	"Actinosynnema pretiosum"	NA	NA	400.3	359.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	126.8	293.9	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_002354875.1_NZ_CP023445.1.region026"	"GCF_002354875.1"	"NZ_CP023445.1"	"region026"	TRUE	TRUE	FALSE	TRUE	"5876437..5932287"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Actinosynnema"	"Actinosynnema pretiosum"	638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	77	293.2	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_000342005.1_NZ_AOHO01000028.1.region002"	"GCF_000342005.1"	"NZ_AOHO01000028.1"	"region002"	TRUE	TRUE	FALSE	TRUE	"135107..194560"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis decaplanina DSM 44594"	NA	NA	448.5	358.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69.3	261.2	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_000342005.1_NZ_AOHO01000078.1.region001"	"GCF_000342005.1"	"NZ_AOHO01000078.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"73575..179173"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis decaplanina DSM 44594"	NA	NA	NA	NA	NA	512.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
"GCF_000383915.1_NZ_KB912942.1.region009"	"GCF_000383915.1"	"NZ_KB912942.1"	"region009"	TRUE	TRUE	FALSE	TRUE	"1626087..1715250"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis benzoatilytica AK 16/65"	604.9	NA	NA	NA	NA	595.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67.4	308.4	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
"GCF_000384215.1_NZ_KB913032.1.region005"	"GCF_000384215.1"	"NZ_KB913032.1"	"region005"	TRUE	TRUE	FALSE	TRUE	"900703..949479"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis alba DSM 44262"	NA	NA	407.7	322.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_000384215.1_NZ_KB913032.1.region024"	"GCF_000384215.1"	"NZ_KB913032.1"	"region024"	TRUE	TRUE	FALSE	TRUE	"6412667..6474937"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis alba DSM 44262"	672.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68.8	306.5	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_000384215.1_NZ_KB913032.1.region036"	"GCF_000384215.1"	"NZ_KB913032.1"	"region036"	TRUE	TRUE	FALSE	TRUE	"8014705..8073909"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis alba DSM 44262"	NA	NA	437.7	354.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68.6	265.2	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_000384295.1_NZ_KB913037.1.region003"	"GCF_000384295.1"	"NZ_KB913037.1"	"region003"	TRUE	TRUE	FALSE	TRUE	"607013..668965"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis balhimycina FH 1894"	637.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65.2	306.8	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_000384315.1_NZ_ARVW01000001.1.region009"	"GCF_000384315.1"	"NZ_ARVW01000001.1"	"region009"	TRUE	TRUE	FALSE	TRUE	"1849050..1933557"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis nigrescens CSC17Ta-90"	NA	NA	423.9	368.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85.3	289.9	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_000384315.1_NZ_ARVW01000001.1.region011"	"GCF_000384315.1"	"NZ_ARVW01000001.1"	"region011"	TRUE	TRUE	FALSE	TRUE	"2812915..2880184"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis nigrescens CSC17Ta-90"	650.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83.3	302	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_000454025.1_NC_022116.1.region019"	"GCF_000454025.1"	"NC_022116.1"	"region019"	TRUE	TRUE	FALSE	TRUE	"5544559..5607484"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis mediterranei RB"	637.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64	303.8	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_000716785.1_NZ_JNYY01000001.1.region002"	"GCF_000716785.1"	"NZ_JNYY01000001.1"	"region002"	TRUE	TRUE	FALSE	TRUE	"176191..239092"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis vancoresmycina"	641.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.3	306.3	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_000717335.1_NZ_JNYZ01000002.1.region001"	"GCF_000717335.1"	"NZ_JNYZ01000002.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"35427..98816"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis jejuensis"	655.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.7	301.4	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_000717335.1_NZ_JNYZ01000007.1.region001"	"GCF_000717335.1"	"NZ_JNYZ01000007.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"69922..142117"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis jejuensis"	NA	NA	404.2	325.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53.7	276.5	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_000717335.1_NZ_JNYZ01000010.1.region001"	"GCF_000717335.1"	"NZ_JNYZ01000010.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"21849..93962"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis jejuensis"	NA	NA	NA	NA	NA	480.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
"GCF_000943515.2_NZ_CP016174.1.region006"	"GCF_000943515.2"	"NZ_CP016174.1"	"region006"	TRUE	TRUE	FALSE	TRUE	"1493937..1562420"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis orientalis"	NA	NA	NA	NA	NA	508.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86.8	285.5	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
"GCF_000943515.2_NZ_CP016174.1.region009"	"GCF_000943515.2"	"NZ_CP016174.1"	"region009"	TRUE	TRUE	FALSE	TRUE	"2217344..2276584"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis orientalis"	NA	NA	NA	NA	NA	506.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
"GCF_000943515.2_NZ_CP016174.1.region017"	"GCF_000943515.2"	"NZ_CP016174.1"	"region017"	TRUE	TRUE	FALSE	TRUE	"4260965..4370936"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis orientalis"	668.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70.9	306.2	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_001953865.1_NZ_MQUQ01000009.1.region001"	"GCF_001953865.1"	"NZ_MQUQ01000009.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"116058..179776"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis coloradensis"	655.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67.5	304.1	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_001953865.1_NZ_MQUQ01000018.1.region002"	"GCF_001953865.1"	"NZ_MQUQ01000018.1"	"region002"	TRUE	TRUE	FALSE	TRUE	"143811..203046"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis coloradensis"	NA	NA	440.6	353.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.1	264.6	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_001995215.1_NZ_MUXN01000010.1.region001"	"GCF_001995215.1"	"NZ_MUXN01000010.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"16608..75866"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis azurea DSM 43854"	NA	NA	444.9	353.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.6	263.3	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_001995215.1_NZ_MUXN01000015.1.region001"	"GCF_001995215.1"	"NZ_MUXN01000015.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"116411..180061"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis azurea DSM 43854"	670.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65.6	309.7	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_002234405.1_NZ_NMQT01000009.1.region001"	"GCF_002234405.1"	"NZ_NMQT01000009.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"1917..65539"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis thailandensis"	671.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.3	307	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_002234595.1_NZ_NMUL01000007.1.region001"	"GCF_002234595.1"	"NZ_NMUL01000007.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"45704..107783"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis vastitatis"	638.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.9	301.2	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_002262875.1_NZ_NKYE01000011.1.region002"	"GCF_002262875.1"	"NZ_NKYE01000011.1"	"region002"	TRUE	TRUE	FALSE	TRUE	"81692..200181"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis antarctica"	576.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	71.8	294.7	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_002846615.1_NZ_PJMY01000003.1.region016"	"GCF_002846615.1"	"NZ_PJMY01000003.1"	"region016"	TRUE	TRUE	FALSE	TRUE	"6228655..6293717"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis niigatensis"	NA	NA	434.9	347.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.3	272.9	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_003312875.1_NZ_CP015163.1.region011"	"GCF_003312875.1"	"NZ_CP015163.1"	"region011"	TRUE	TRUE	FALSE	TRUE	"2127712..2186466"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis albispora"	NA	NA	450.8	360.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.7	263	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_003312875.1_NZ_CP015163.1.region026"	"GCF_003312875.1"	"NZ_CP015163.1"	"region026"	TRUE	TRUE	FALSE	TRUE	"8044272..8148790"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis albispora"	650.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.2	301.2	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_003937945.1_NZ_RSEC01000063.1.region005"	"GCF_003937945.1"	"NZ_RSEC01000063.1"	"region005"	TRUE	TRUE	FALSE	TRUE	"300990..364585"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis eburnea"	656.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.9	305.2	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_004214935.1_NZ_SFCC01000003.1.region001"	"GCF_004214935.1"	"NZ_SFCC01000003.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"258989..314798"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis suaedae"	660.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.9	295.2	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_004522235.1_NZ_SDLT01000025.1.region001"	"GCF_004522235.1"	"NZ_SDLT01000025.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"46167..126468"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis nivea"	NA	NA	404.2	326.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.6	273.3	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_006715045.1_NZ_VFML01000001.1.region003"	"GCF_006715045.1"	"NZ_VFML01000001.1"	"region003"	TRUE	TRUE	FALSE	TRUE	"607644..665355"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis cihanbeyliensis"	640.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90.8	299.4	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_007713735.2_NZ_VMNW02000033.1.region001"	"GCF_007713735.2"	"NZ_VMNW02000033.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"54..48761"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis acidicola"	NA	NA	431.5	307.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	96.7	279.5	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_009765355.1_NZ_VTHK01000003.1.region001"	"GCF_009765355.1"	"NZ_VTHK01000003.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"274775..346946"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis anabasis"	655.7	NA	NA	NA	NA	569.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.2	295.3	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
"GCF_013410405.1_NZ_JACCFK010000002.1.region002"	"GCF_013410405.1"	"NZ_JACCFK010000002.1"	"region002"	TRUE	TRUE	FALSE	TRUE	"702671..762927"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis endophytica"	NA	NA	450	330.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.9	270.9	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_013410405.1_NZ_JACCFK010000002.1.region006"	"GCF_013410405.1"	"NZ_JACCFK010000002.1"	"region006"	TRUE	TRUE	FALSE	TRUE	"1580099..1652444"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis endophytica"	NA	NA	NA	NA	NA	492.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
"GCF_014145675.1_NZ_JACGZW010000001.1.region003"	"GCF_014145675.1"	"NZ_JACGZW010000001.1"	"region003"	TRUE	TRUE	FALSE	TRUE	"255222..358711"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis dendrobii"	656.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_014145675.1_NZ_JACGZW010000005.1.region002"	"GCF_014145675.1"	"NZ_JACGZW010000005.1"	"region002"	TRUE	TRUE	FALSE	TRUE	"340951..421826"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis dendrobii"	NA	NA	405.8	321.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.7	274.2	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_014205155.1_NZ_JACHMX010000001.1.region004"	"GCF_014205155.1"	"NZ_JACHMX010000001.1"	"region004"	TRUE	TRUE	FALSE	TRUE	"169030..227623"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis umgeniensis"	NA	NA	444.5	354.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69.9	264.3	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_014205155.1_NZ_JACHMX010000001.1.region033"	"GCF_014205155.1"	"NZ_JACHMX010000001.1"	"region033"	TRUE	TRUE	FALSE	TRUE	"8722289..8785938"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis umgeniensis"	660.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.2	307.1	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_014653945.1_NZ_BNAU01000003.1.region001"	"GCF_014653945.1"	"NZ_BNAU01000003.1"	"region001"	TRUE	TRUE	FALSE	TRUE	"202749..290202"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis deserti"	641.3	NA	NA	NA	NA	572.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61.1	296.2	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
"GCF_014654205.1_NZ_BNAW01000001.1.region003"	"GCF_014654205.1"	"NZ_BNAW01000001.1"	"region003"	TRUE	TRUE	FALSE	TRUE	"457798..521052"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis bullii"	644.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56	307.6	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_014654365.1_NZ_BNAY01000001.1.region002"	"GCF_014654365.1"	"NZ_BNAY01000001.1"	"region002"	TRUE	TRUE	FALSE	TRUE	"154234..302175"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis oliviviridis"	530.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	295.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_014654365.1_NZ_BNAY01000001.1.region004"	"GCF_014654365.1"	"NZ_BNAY01000001.1"	"region004"	TRUE	TRUE	FALSE	TRUE	"468525..527512"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis oliviviridis"	NA	NA	444.4	354.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61.5	262.8	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"GCF_014654365.1_NZ_BNAY01000001.1.region005"	"GCF_014654365.1"	"NZ_BNAY01000001.1"	"region005"	TRUE	TRUE	FALSE	TRUE	"628959..692604"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis oliviviridis"	671.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65.9	309.2	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
"GCF_014873755.1_NZ_JADBEG010000001.1.region012"	"GCF_014873755.1"	"NZ_JADBEG010000001.1"	"region012"	TRUE	TRUE	FALSE	TRUE	"2254923..2318025"	FALSE	"Bacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Amycolatopsis"	"Amycolatopsis lexingtonensis"	657.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.2	309.3	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
