ID,designation_header,strain_number_header,is_type_strain_header,species,"Genome seq. accession number"
,,,,,GCA_000741245
,,,,,GCA_017132775
,,,,,GCA_900104835
,,,,,GCA_900637335
161151,,"JCM 11340",0,"Bifidobacterium longum subsp. longum",GCA_015101725
161152,,"JCM 11341",0,"Bifidobacterium longum subsp. longum",GCA_014898235
161153,,"JCM 11342",0,"Bifidobacterium longum subsp. longum",GCA_017357325
161154,,"JCM 11343",0,"Bifidobacterium longum subsp. longum",GCA_014900535
165469,,"JCM 7050, LMG 18899",0,"Bifidobacterium longum subsp. longum",GCA_014898215
165470,,"JCM 7052, CGMCC 1.3013",0,"Bifidobacterium longum subsp. longum",GCA_015100215
165471,,"JCM 7053, CGMCC 1.3048",0,"Bifidobacterium longum subsp. longum",GCA_017357345
165472,,"JCM 7055",0,"Bifidobacterium longum subsp. longum",GCA_014898255
131387,"Su 851","DSM 28597, JCM 19995, KCTC 15605",1,"Bifidobacterium longum subsp. suillum",GCA_015931225
,,,,,GCA_017132755
,,,,,GCA_019297795
1746,SU859,"DSM 20211, ATCC 27533, JCM 1269, CCUG 35234, BCRC 14671, CGMCC 1.2184, CIP 103377, HAMBI 1381, KCTC 3229, LMG 11598, LMG 21814, NRRL B-41407, VTT E-021921",1,"Bifidobacterium longum subsp. suis",GCA_000741625
,,,,,GCA_000771285
,,,,,GCA_900103055
1711,RA3,"DSM 20222, ATCC 27540, CCUG 34987, JCM 1218, BCRC 14676, CGMCC 1.2189, HAMBI 569, KCTC 3228, LMG 11591",1,"Bifidobacterium magnum",GCA_000420565
,,,,,GCA_000741255
,,,,,GCA_000771365
1726,Ru915B,"DSM 6492, ATCC 49391, CCUG 34976, JCM 8219, CGMCC 1.2273, KCTC 3369, KCTC 3423, LMG 11341",1,"Bifidobacterium merycicum",GCA_000741615
,,,,,GCA_000770945
,,,,,GCA_900129045
1712,F392,"CCUG 34982, DSM 20102, ATCC 27538, JCM 5821, BCRC 14666, CGMCC 1.2233, KCTC 3273, LMG 11592",1,"Bifidobacterium minimum",GCA_000421685
,,,,,GCA_000741645
,,,,,GCA_000771245
1747,,"DSM 21395, JCM 15461, YIT 10443, KCTC 5848",1,"Bifidobacterium mongoliense",GCA_000741285
,,,,,GCA_000771525
160815,VB25,"DSM 109958",1,"Bifidobacterium moraviense",GCA_012932365
23789,GG01,"DSM 27321, JCM 18751",1,"Bifidobacterium moukalabense",GCA_000522505
,,,,,GCA_005405645
132345,MRM_5.9,"DSM 100196, JCM 30796, MRM 5.9, KCTC 15589",1,"Bifidobacterium myosotis",GCA_002259745
160810,VB24,"DSM 109957",1,"Bifidobacterium oedipodis",GCA_012932425
160129,VB26,"DSM 109959",1,"Bifidobacterium olomucense",GCA_012932375
160000,VB23,"DSM 109963",1,"Bifidobacterium panos",GCA_012932445
1737,P3-14,"DSM 17755, AS 1.3009, LMG 21689, JCM 16945, CGMCC 1.3009",1,"Bifidobacterium porcinum",GCA_000771045
1713,B1279,"DSM 20438, ATCC 27919, CCUG 34989, JCM 1200, BCRC 15476, CCM 7094, CECT 5776, CGMCC 1.2277, CIP 104168, HAMBI 562, KCTC 3223, LMG 10505, NCAIM B.02022, VTT E-991439",1,"Bifidobacterium pseudocatenulatum",GCA_000173435
,,,,,GCA_000741685
,,,,,GCA_000771445
,,,,,GCA_001025215
1717,"PNC-2-9G (Biotype a)","DSM 20099, ATCC 25526, CCUG 34981, CCM 7207, JCM 1205, BCRC 14673, CGMCC 1.2185, CIP 105352, KCTC 3224, LMG 11571, NCFB 2244",1,"Bifidobacterium pseudolongum",GCA_000741325
,,,,,GCA_000771225
1738,T16,"DSM 22366, LMG 21775, NCIMB 13940, JCM 15958",1,"Bifidobacterium psychraerophilum",GCA_000741705
,,,,,GCA_000771565
,,,,,GCA_002813205
1718,1145,"CCUG 35235, CIP 107006, DSM 20433, ATCC 27685, JCM 1214, BCRC 14678, CGMCC 1.2240, KCTC 3274, LMG 11572, LMG 21816, NCFB 2260",1,"Bifidobacterium pullorum",GCA_000741335
,,,,,GCA_000771405
,,,,,GCA_014634885
132546,,"DSM 100688, JCM 30944, TRE M",1,"Bifidobacterium ramosum",GCA_009299505
1753,AFB22-1,"DSM 23975, JCM 17295, KCTC 15318",1,"Bifidobacterium reuteri",GCA_000741695
,,,,,GCA_000771685
1723,Ru687,"DSM 6489, ATCC 49390, CCUG 34975, JCM 8222, CGMCC 1.2241, KCTC 3425, LMG 12588, LMG 21811",1,"Bifidobacterium ruminantium",GCA_000687635
,,,,,GCA_000741365
,,,,,GCA_000770925
1752,AFB23-1,"DSM 23967, JCM 17297, KCTC 15335",1,"Bifidobacterium saguini",GCA_000741715
,,,,,GCA_000771625
164530,2033B,"JCM 33354, CCUG 72817, LMG 30940",1,"Bifidobacterium samirii",GCA_003952945
1734,,"DSM 13734, CCUG 13008 A, ATCC BAA 773, JCM 12489, CCM 7209, KCTC 5849",1,"Bifidobacterium scardovii",GCA_000770985
,,,,,GCA_001005065
,,,,,GCA_001042635
159328,WCA-178-WT-4B,"DSM 107246",0,"Bifidobacterium sp.",GCA_009696495
160370,Cla-CZ-59,"DSM 108971",0,"Bifidobacterium sp.",GCA_014983005
1755,AFB23-3,"DSM 23968, JCM 17298, KCTC 15336",1,"Bifidobacterium stellenboschense",GCA_000741785
1719,F395,"DSM 20096, ATCC 27537, CCUG 34980",1,"Bifidobacterium subtile",GCA_000426405
,,,,,GCA_000771185
1735,36,"DSM 15837, CGMCC AS 1.2282, JCM 11165, CGMCC 1.2282, KCTC 5850, LMG 21395, NBRC 106100, VTT E-052869",1,"Bifidobacterium thermacidophilum",GCA_000426425
,,,,,GCA_000741455
,,,,,GCA_000771005
1722,"RU 326","DSM 20212, ATCC 25866, JCM 1268, KCTC 3471",0,"Bifidobacterium thermophilum",GCA_000687575
158889,BSM-130-P53-3C,"DSM 102827",0,"Bifidobacterium thermophilum",GCA_012844045
132348,MRM_5.18,"DSM 100201, JCM 30798, MRM 5.18, KCTC 15590",1,"Bifidobacterium tissieri",GCA_002259645
1740,"OMB 115","DSM 17777, JCM 13495",1,"Bifidobacterium tsurumiense",GCA_000429745
,,,,,GCA_000741765
,,,,,GCA_000771065
159544,BSM-380-WT-2B,"DSM 104387",0,"Bifidobacterium tsurumiense",GCA_009696505
141014,Tam10B,"LMG 30126, CCUG 70655, CCUG 70655 A",1,"Bifidobacterium vansinderenii",GCA_002234915
158514,XV2,"DSM 104955, LMG 30142, JCM 33372",1,"Bifidobacterium xylocopae",GCA_003315615
159487,"OIL+RF-744-WCA-13, OiL+RF-744-WCA-WT-13","DSM 106898, JCM 34419",0,"Bilifractor porci",GCA_009696005
146880,,"CCUG 32349, ATCC 49260",1,"Bilophila wadsworthia",GCA_000701705
164467,SK-G1,"JCM 33158, CCAM 530, KCTC 15783",1,"Biomaibacter acetigenes",GCA_003691585
5244,BF36,"DSM 19580, CIP 109699",1,"Biostraticola tofi",GCA_004343195
24299,"98-D-690B, M327/99/2","DSM 28231, CCUG 43067, NCTC 13475, CIP 106354",1,"Bisgaardia hudsonensis",GCA_004345785
,,,,,GCA_013377195
131309,Wildatric,"DSM 28141, CCUG 65148",1,"Bisgaardia miroungae",GCA_001043065
163765,,"JCM 30333, CGMCC 1.12751",1,"Bizionia arctica",GCA_014638915
5714,"CCM-A-29 1259, JUB59","DSM 19628",1,"Bizionia argentinensis",GCA_000224335
5715,,"DSM 23925, KCTC 22015, KMM 6177, LMG 25220",1,"Bizionia echini",GCA_900115185
134126,IC164,"ACAM 107, CIP 108536",1,"Bizionia gelidisalsuginis",GCA_008086185
134125,ADA-4,"ACAM 1058, CIP 108535",1,"Bizionia myxarmorum",GCA_008086205
5713,,"DSM 23842, KCTC 12304, KMM 6029, LMG 22571",1,"Bizionia paragorgiae",GCA_900107625
134127,HFD,"ACAM 1059, CIP 108534",1,"Bizionia saleffrena",GCA_008086175
6158,P1,"DSM 729",1,"Blastochloris sulfoviridis",GCA_008630065
160826,GI,"DSM 106918",1,"Blastochloris tepida",GCA_003966715
6160,"Drews F, F","DSM 133, ATCC 19567",1,"Blastochloris viridis",GCA_001402875
,,,,,GCA_001548155
5810,B15,"DSM 4725, ATCC 25902, JCM 12602, NBRC 107747, CCUG 61909, NCIMB 1849",1,"Blastococcus aggregatus",GCA_900221005
159723,P6,"NCIMB 15090, NRRL B-65468",1,"Blastococcus atacamensis",GCA_002938425
132717,,"DSM 46837, CECT 8823, BMG 822",1,"Blastococcus colisei",GCA_006717095
24054,,"DSM 45413, CCTCC AA 209045, KCTC 19998, YIM 68236, JCM 17896, JCM 31483",1,"Blastococcus endophyticus",GCA_900110555
159637,GP-S2-8,"DSM 106127, JCM 32354, KCCM 43275, KCTC 49078",1,"Blastococcus litoris",GCA_003075095
5813,,"CCUG 61911, DSM 44509, JCM 13239, NRRL B-24246, BC 444",1,"Blastococcus saxobsidens",GCA_002938435
,,,,,GCA_004217455
24856,"AT 7-1","DSM 44268, JCM 18931",0,"Blastococcus sp.",GCA_900102425
24858,"AT 7-14","DSM 44270, JCM 18932",0,"Blastococcus sp.",GCA_900230285
24860,"AT 7(-2)-11","DSM 44272, JCM 18933",0,"Blastococcus sp.",GCA_900188025
130788,G1S,"DSM 44205",0,"Blastococcus sp.",GCA_900102115
156388,,"CCUG 61487",0,"Blastococcus sp.",GCA_005222955
140448,,"DSM 46842, CECT 8884, BMG 862",1,"Blastococcus xanthinilyticus",GCA_008124835
163730,,"JCM 30179, CGMCC 1.12851",1,"Blastomonas aquatica",GCA_014639875
140974,T2,"KCTC 42354, JCM 30467, DSM 112298",1,"Blastomonas fulva",GCA_003431825
140358,SSR2A-4-2,"DSM 103453, CGMCC 1.15297",1,"Blastomonas marina",GCA_014641655
14141,1,"DSM 3183, ATCC 35951, UQM 2507, JCM 12333, ACM 2507, CECT 4273, CIP 106842, IFO 15649, JCM 10396, KCTC 2886, LMG 17322, NBRC 15649, NCIMB 12085",1,"Blastomonas natatoria",GCA_003201955
11935,,"DSM 3645, ATCC 49069, IFAM 1313",1,"Blastopirellula marina",GCA_000153105
160830,"Enrichment 8, Enr8","DSM 100415, LMG 29081, LMG 2908",1,"Blastopirellula retiformator",GCA_007859755
164046,,"JCM 31394, KCTC 15426",1,"Blautia argi",GCA_003287895
18067,CLC-1,"DSM 935, ATCC 29236, NCTC 11035, JCM 1395, BCRC 14467, CCM 6064",1,"Blautia coccoides",GCA_004340925
,,,,,GCA_900461125
159580,KGMB01111,"DSM 107827, KCTC 15706, JCM 34499",1,"Blautia faecicola",GCA_004123145
18071,"VPI C7-24","DSM 20583, ATCC 27752, JCM 14655, CIP 104219",1,"Blautia hansenii",GCA_000156675
,,,,,GCA_002222595
18073,S5a33,"DSM 10507, JCM 14656",1,"Blautia hydrogenotrophica",GCA_000157975
18074,BInIX,"DSM 14534, CCUG 45635, JCM 17040, KCTC 5974, CIP 107222#, JCM 14658#, CIP 107222, KCTC 15704",1,"Blautia luti",GCA_009707925
132900,GD9,"DSM 101187, CSUR P2132",0,"Blautia massiliensis",GCA_001487165
17684,,"DSM 25238, ATCC 29174, KCTC 15206, VPI B3-21",1,"Blautia obeum",GCA_000153905
18068,2396,"DSM 2950, ATCC 27340, CCUG 10976, CCUG 9990, JCM 1471, KCTC 15607, VPI 4299, NCTC 11829, KCTC 3242, KCTC 3695",1,"Blautia producta",GCA_000373885
,,,,,GCA_000439125
,,,,,GCA_010669205
,,,,,GCA_014131715
18069,U-1,"DSM 3507, ATCC 35244",0,"Blautia producta",GCA_002915535
18072,B,"DSM 10518, JCM 14657, CCUG 53897, CIP 105464",1,"Blautia schinkii",GCA_000702025
18075,"Walcc: 14507","DSM 19850, ATCC BAA 1564, JCM 17041, KCTC 5965, WAL 14507",1,"Blautia wexlerae",GCA_000484655
1770,2017-12,"DSM 11294, CCUG 39178, HKI 88, JCM 11479, ATCC 700413, CIP 105404, NBRC 106158",1,"Bogoriella caseilytica",GCA_003752405
130136,R-52487,"DSM 28636, LMG 28161",1,"Bombella intestini",GCA_002003665
130371,Bin4,"DSM 26316, CCUG 65819",0,"Bombilactobacillus mellifer",GCA_000970795
1768,BLAPIII-AGV,"DSM 22924, ATCC BAA 1568",1,"Bombiscardovia coagulans",GCA_002259585
377,,"DSM 11332, ATCC 35086, CCUG 13726, LMG 1852, Hinz 591-77",1,"Bordetella avium",GCA_003581385
376,,"DSM 13414, ATCC 19395, CCUG 219, CIP 55.110, LMG 1232, NCTC 452, CCM 6082",1,"Bordetella bronchiseptica",GCA_900445725
375,,"CCUG 2514, NRRL B-140, DSM 10303, ATCC 4617, NCIB 9935, NCTC 8344, PCI 1701, WHO 11",0,"Bordetella bronchiseptica",GCA_900637995
378,,"DSM 11333, ATCC 51783, CIP 104527, LMG 13501, CCUG 33847, CCM 4584, TC 58, JCM 15550",1,"Bordetella hinzii",GCA_001548475
381,,"DSM 13416, ATCC 51541, CCM 4585, CCUG 13416, CCUG 34073, CDC F5101, LMG 15945",1,"Bordetella holmesii",GCA_000612485
368,522,"DSM 13415, ATCC 15311, CCUG 413, LMG 14449, NCTC 5952",1,"Bordetella parapertussis",GCA_900445785
147413,,"CCUG 33551, ATCC 15237, NCTC 10853",0,"Bordetella parapertussis",GCA_900445795
374,18323,"DSM 5571, ATCC 9797, CCUG 30873, CCUG 17764, NCTC 10739, LMG 14455, CIP 63.1",1,"Bordetella pertussis",GCA_000306945
382,Se-1111R,"DSM 12804, CCUG 43448, CIP 107267, ATCC BAA 461, CCM 7166",1,"Bordetella petrii",GCA_000067205
133298,8-296-03,"DSM 106160, NCTC 13808, NRRL B-59942",0,"Bordetella pseudohinzii",GCA_000657795
142682,,"CCUG 13902, LMG 14446, LMG 5251",0,"Bordetella trematum",GCA_000471705
14305,"VS 461","DSM 10508, ATCC 51567, CIP 103469",1,"Borrelia afzelii",GCA_014202295
14310,CA446,"DSM 17989, ATCC BAA 2689, CIP 109133",1,"Borrelia californiensis",GCA_014205885
24806,PBi,"DSM 23469, ATCC BAA 2496",1,"Borrelia garinii subsp. bavariensis",GCA_000196215
,,,,,GCA_003814425
14307,20047,"DSM 10534, ATCC 51383, CIP 103362",1,"Borrelia garinii",GCA_001922545
14304,HS1,"DSM 5251, DSM 4682",0,"Borrelia hermsii",GCA_001660005
14313,"CA28, CA28-91","DSM 17992, CIP 109135",1,"Borrelia lanei",GCA_014205895
14309,"PC-Eq17, PC-eq17N5","DSM 16813, CIP 108855",1,"Borrelia spielmanii",GCA_014201705
14308,IST7,"DSM 16138, JCM 11958",1,"Borrelia turcica",GCA_003606285
24807,Okinawa-CW62,"DSM 24625, JCM 17189, DSM 23263",1,"Borrelia yangtzensis",GCA_014201775
165979,,"JCM 8951, ATCC 51557",1,"Borrelia japonica",GCA_900099615
166197,,"LMG 31125, RCAM 04680",1,"Bosea caraganae",GCA_003351345
1791,R-46060,"DSM 26656, CCUG 61247, LMG 26379",1,"Bosea lathyri",GCA_900108245
1792,R-45681,"DSM 26673, CCUG 61248, LMG 26383",1,"Bosea lupini",GCA_900109525
166471,1131,"NRRL B-65405, LMG 30034",1,"Bosea psychrotolerans",GCA_002917105
1793,R-46070,"DSM 26672, CCUG 61249, LMG 26381",1,"Bosea robiniae",GCA_900102525
23803,CRIB-10,"DSM 18164",0,"Bosea sp.",GCA_900112185
132075,Root381,"DSM 102381",0,"Bosea sp.",GCA_001429395
132076,Root483D1,"DSM 102382",0,"Bosea sp.",GCA_001429505
132077,Root670,"DSM 102383",0,"Bosea sp.",GCA_001429415
132078,Leaf344,"DSM 102578",0,"Bosea sp.",GCA_001426225
139921,WAO,"DSM 102914",0,"Bosea sp.",GCA_001509835
1786,BI-42,"DSM 9653, CCUG 55771, ATCC 700366",1,"Bosea thiooxidans",GCA_900168195
160713,BS-W15,"DSM 110602, KCTC 32576, CECT 8489",1,"Boseongicola aestuarii",GCA_900184815
166358,Pla108,"DSM 103355, LMG 29803",1,"Botrimarina colliarenosi",GCA_007859955
160326,Pla111,"DSM 103485, STH 00945",1,"Botrimarina hoheduenensis",GCA_007859815
160513,Spa11,"DSM 100745, LMG 31350, CECT 9852, VKM B-3431",1,"Botrimarina mediterranea",GCA_007753265
140290,VUL4_1,"DSM 104050, CGMCC 4.7370",1,"Boudabousia liubingyangii",GCA_001907245
174,M1749/98/1,"DSM 15383, CCUG 41710, CIP 106509",1,"Boudabousia marimammalium",GCA_001936115
158436,VUL4_3,"DSM 103436, CGMCC 4.7369",1,"Boudabousia tangfeifanii",GCA_001856685
188,,"DSM 19116, CCUG 46092, CIP 107668",1,"Bowdeniella nasicola",GCA_001907295
163888,,"JCM 30855, KCTC 42147",1,"Bowmanella dokdonensis",GCA_017254865
133432,W3-3A,"CGMCC 1.7086, LMG 24568, MCCC 1A01018",1,"Bowmanella pacifica",GCA_014645355
132661,KWS-1,"DSM 28796, JCM 30059, MTCC 11836",1,"Brachybacterium aquaticum",GCA_014204755
159799,M1HQ-2,"KCTC 49087, CGMCC 1.16391, JCM 33403",1,"Brachybacterium endophyticum",GCA_003130585
3902,6-10,"DSM 4810, ATCC 43885, IMET 11352, NCIB 9860, JCM 11609, CCM 4372, CCUG 32293, CCUG 50351, CIP 103333, IAM 14581, IFO 14762, IMSNU 21277, KCCM 40244, LMG 19847, NBRC 14762, NCIMB 9860, VKM Ac-1423",1,"Brachybacterium faecium",GCA_000023405
3911,R-5509,"DSM 14564, LMG 20336, CCUG 50350, JCM 12138, CIP 108248",1,"Brachybacterium fresconis",GCA_017876515
160752,mt5,"DSM 101766, CSUR P2240",0,"Brachybacterium massiliense",GCA_900184245
3914,C3H-21,"DSM 15460, CCM 7047, JCM 14117, CCUG 50159, CCUG 50352, CIP 108210",1,"Brachybacterium muris",GCA_016907455
3903,35,"DSM 9573, IMV Ac-752, JCM 11648, CIP 104813, IAM 14582, IFO 15384, LMG 19549, NBRC 15384",1,"Brachybacterium nesterenkovii",GCA_900163655
3905,7-11,"DSM 46341, ATCC 51843, IFO 15224, IMET 11353, NBRC 15224, NCIB 9861, JCM 17781, CIP 103334, IAM 14583, JCM 11649, KCTC 9916, LMG 19861, NCIMB 9861, VKM Ac-1425, VKM Ac-1977",1,"Brachybacterium paraconglomeratum",GCA_003994255
3913,R-5647,"DSM 14566, LMG 20354, CCUG 50347, JCM 12139, CIP 108249, LMG 20345",1,"Brachybacterium sacelli",GCA_017876545
3917,"JG 06","DSM 23186, IMCC 252, JCM 19544",1,"Brachybacterium saurashtrense",GCA_003355475
,,,,,GCA_003994295
133630,M-6-3,"KACC 14221, JCM 16464",1,"Brachybacterium squillarum",GCA_000225825
3916,JB,"DSM 18832, CGMCC 1.6508, LMG 23926, JCM 15471",1,"Brachybacterium zhongshanense",GCA_001314085
2909,AIMA4,"DSM 19884, LMG 24400",1,"Brachymonas chironomi",GCA_000374625
2908,AS-P1,"DSM 15123, JCM 9216, CCUG 45365, CGMCC 1.7100",1,"Brachymonas denitrificans",GCA_900110225
137694,,"CIP 105681, ATCC 51933",1,"Brachyspira alvinipulli",GCA_000518245
152395,B78,"CCUG 46668, ATCC 27164, NCTC 13041, DSM 105803",1,"Brachyspira hyodysenteriae",GCA_000383255
,,,,,GCA_001013005
,,,,,GCA_001676785
143081,,"CCUG 17081, CCM 6162, CAPM 6162, ATCC 29796",1,"Brachyspira innocens",GCA_000384655
17852,56-150,"DSM 12563, ATCC 51284, CIP 105832",1,"Brachyspira murdochii",GCA_000092845
140245,AN4859/03,"DSM 100974, ATCC BAA 2592",1,"Brachyspira suanatina",GCA_001049755
343,,"DSM 13743, LMG 19451, NCIMB 13739, CCUG 47103, RKI 99-01984",1,"Brackiella oedipodis",GCA_000621025
131340,FA350,"DSM 28820, CICC 10904",1,"Bradymonas sediminis",GCA_003258315
,,,,,GCA_004362595
166188,39S1MB,"LMG 29934, HAMBI 3680",1,"Bradyrhizobium amphicarpaeae",GCA_002266435
1813,"P17Hg1, PL7HG1","DSM 17288, CECT 5829, LMG 21987, NBRC 103048, CCUG 55850",1,"Bradyrhizobium betae",GCA_008932115
1812,BTA-1,"DSM 16623, ATCC BAA 1002, CFNE 1008, LMG 22265",1,"Bradyrhizobium canariense",GCA_019402665
1817,CTAW11,"DSM 23720, CECT 7749, LMG 25866",1,"Bradyrhizobium cytisi",GCA_008123515
133740,,"LMG 26137, HAMBI 3184, CGMCC 1.10947, CCBAU 15774",1,"Bradyrhizobium daqingense",GCA_007830205
1810,222,"DSM 1113, ATCC 43295, HAMBI 2266, IFAM 1005, LMG 8443, VKM B-2062",1,"Bradyrhizobium denitrificans",GCA_013179005
133742,,"LMG 26136, CGMCC 1.10948, HAMBI 3180, CCBAU 23303",1,"Bradyrhizobium huanghuaihaiense",GCA_007830635
1805,3I1b6,"DSM 30131, ATCC 10324, CCUG 27876, LMG 6138, CECT 530, JCM 20679, BCRC 13518, BCRC 80814, CCTM La 3681, CIP 106093, HAMBI 2314, IAM 12608, ICMP 2864, NBRC 14783, NCIMB 11477, NRRL B-4507, NRRL L-241, NZP 5549, OUT 30002, USDA 505, VKM B-1967",1,"Bradyrhizobium japonicum",GCA_006539645
1816,PAC68,"DSM 19632, CECT 7395, LMG 24556",1,"Bradyrhizobium jicamae",GCA_001440395
140478,U675,"LMG 30031, BR 6010, CNPSo 1165, SEMIA 6399",1,"Bradyrhizobium mercantei",GCA_001982635
1784,S58,"DSM 12412, ATCC 43045, JCM 1494, LMG 10732, NCIMB 12151, CCUG 57401, CCBAU 101025",1,"Bradyrhizobium oligotrophicum",GCA_000344805
1808,309,"DSM 5968, ATCC 35642, TAL 309, CB 756",0,"Bradyrhizobium sp.",GCA_000473125
131657,Leaf396,"DSM 102579",0,"Bradyrhizobium sp.",GCA_001424605
162241,,"JCM 18382",0,"Bradyrhizobium sp.",GCA_001312945
140809,H-8,"CNPSo 2823, HAMBI 3668, BR 446",1,"Bradyrhizobium stylosanthis",GCA_001641335
166133,UFLA03-164,"LMG 31509",1,"Bradyrhizobium uaiense",GCA_010811875
132365,7-2,"DSM 100297, LMG 28791, NTCCM 0018, DSMZ 100297",1,"Bradyrhizobium vignae",GCA_004114425
134681,,"CIP 108027, CFNEB 101, CCBAU 10071",1,"Bradyrhizobium yuanmingense",GCA_900094575
3932,29717,"DSM 22951, NBRC 106121, Mer 29717",1,"Branchiibius hedensis",GCA_003149195
,,,,,GCA_900108585
160632,"Pan 97, Pan97","DSM 101992, LMG 29460",1,"Bremerella volcania",GCA_007748115
4309,,"CCUG 48887, ICMP 12481, ATCC 700181, CIP 104916, DSM 11811, NCPPB 3934, PVFi 20",1,"Brenneria alni",GCA_003666245
166420,gBX10-1-2,"CFCC 11842, KCTC 42840",1,"Brenneria corticis",GCA_003115855
4306,"EN 101","CCUG 48853, NCPPB 564, CIP 105198, LMG 2694, CFBP 3616, ICMP 1578, DSM 30175, ATCC 13028",1,"Brenneria nigrifluens",GCA_003115835
,,,,,GCA_005484965
4308,"BS 1027","DSM 30166, ATCC 15712, EX 2, NCPPB 447, CCUG 48855, CIP 105204, LMG 2698, CFBP 802",1,"Brenneria salicis",GCA_003315515
,,,,,GCA_003666165
,,,,,GCA_012932875
17880,UBF-P1,"DSM 23382, CECT 7622, LMG 25482",1,"Breoghania corrubedonensis",GCA_003053845
11416,13,"DSM 6348, ATCC 51663, CCUG 31345, NRRL NRS-1219, LMG 15103, NRS 1219, JCM 9067, CCM 4535, CGMCC 1.3103, CIP 104002, IFO 15538, KCTC 3573, LMG 15598, NBRC 15538",1,"Brevibacillus agri",GCA_004117055
,,,,,GCA_006540025
11421,B4,"DSM 6347, ATCC 51668, CIP 104545, IFO 15714, JCM 9022, NBRC 15714, CCUG 51058, NRRL NRS-818, LMG 16009, NRS 818, CGMCC 1.3102",1,"Brevibacillus borstelensis",GCA_006540165
11402,"27B, 604","DSM 30, ATCC 8246, CCM 2050, JCM 2503, LMG 16703, NCIB 9372, NCTC 2611, CCUG 7413, NRS 604, BCRC 14682, CECT 5, CGMCC 1.3098, CIP 52.86, IFO 15304, KCTC 3743, LMG 7123, NBRC 15304, NCIMB 9372, NRRL B-14602, NRRL NRS-604, NRRL NRS-819, VKM B-503",1,"Brevibacillus brevis",GCA_006539845
,,,,,GCA_900637055
165384,,"JCM 6285, NBRC 100599",0,"Brevibacillus brevis",GCA_000010165
11425,"NRRL-NRS 664","DSM 8445, ATCC 51661, CCUG 31347, NRRL NRS-664, NRS 664, JCM 9071, CGMCC 1.3104, CIP 104003, IFO 15540, KCTC 3863, KCTC 3887, LMG 15106, LMG 15603, NBRC 15540",1,"Brevibacillus centrosporus",GCA_006540045
11423,"HPD 52","DSM 8552, ATCC 51359, CIP 103838, IFO 15518, JCM 8505, NBRC 15518, CCUG 51061, NRRL B-23247, LMG 15968, CGMCC 1.3099, KCTC 3836, NCIMB 13345",1,"Brevibacillus choshinensis",GCA_001420695
11440,CJ71,"DSM 23904, JCM 15716, KACC 13381",1,"Brevibacillus fluminis",GCA_003710825
11427,,"DSM 9885, ATCC 51669, IFO 15716, JCM 9169, NBRC 15716, NRRL NRS-863, CCUG 51064, CIP 104544, LMG 16010, CGMCC 1.3105",1,"Brevibacillus formosus",GCA_001012775
,,,,,GCA_006540185
24273,K2814,"DSM 25523, ATCC BAA 2417, JCM 18162",1,"Brevibacillus fulvus",GCA_016908525
132387,PDF4,"DSM 100115, NCCB 100559",1,"Brevibacillus gelatini",GCA_003710935
11436,"B2156, C3774","DSM 16423, CIP 106911, LMG 18962, NCIMB 13772, JCM 12215",1,"Brevibacillus invocatus",GCA_003710915
23173,phR,"DSM 25447, CSUR P177",1,"Brevibacillus massiliensis",GCA_000311785
23172,DA2,"DSM 26674, JCM 15774, NCIMB 14531",1,"Brevibacillus nitrificans",GCA_003710965
11439,,"DSM 22869, JCM 15085, KCTC 13206, DCY 35",1,"Brevibacillus panacihumi",GCA_003710985
11415,,"DSM 8376, ATCC 10027, CIP 103840, IFO 12334, JCM 8506, NBRC 12334, NRS 605, CGMCC 1.3101, LMG 15971, NCIMB 13346, NRRL NRS-605, VTT E-981069",1,"Brevibacillus parabrevis",GCA_006539065
11429,"Army strain 720","DSM 9887, ATCC 51665, CIP 104543, IFO 15719, JCM 9170, NBRC 15719, NRRL NRS 1206, BCRC 17828, CGMCC 1.3106, LMG 16012, NCIMB 13367, NRRL NRS-1206",1,"Brevibacillus reuszeri",GCA_001187725
,,,,,GCA_006540225
131659,Leaf182,"DSM 102581",0,"Brevibacillus sp.",GCA_001423865
160514,SYP-B805,"DSM 29172",0,"Brevibacillus sp.",GCA_011059135
160340,PM1,"DSM 26550",0,"Brevibacillus thermoruber",GCA_000744635
1868,,"DSM 18261, CCTCC AB 206112, KCTC 19173, YIM 90718, JCM 15617",1,"Brevibacterium album",GCA_000426445
1862,,"DSM 21545, JCM 13317, LMG 22206, UCM Ac-411, VKM Ac-2118",1,"Brevibacterium antiquum",GCA_016107655
1863,KC,"DSM 20426, ATCC 9175, NCDO 739, NCIB 8546, JCM 2590, BCRC 10379, CCUG 12159, CCUG 23574, CECT 76, CIP 63.12, IAM 1902, IFO 12171, IMET 10996, KCTC 3084, LMG 22546, NBRC 12171, NCIMB 8546, VKM Ac-2111",1,"Brevibacterium aurantiacum",GCA_006539005
,,,,,GCA_900169065
1834,CMD1,"DSM 20657, ATCC 35513, NCDO 2048, CCUG 29001, JCM 2594, BCRC 12214, CCM 4100, CECT 4161, CGMCC 1.1930, CIP 102111, IFO 14812, IMET 10997, KCTC 3082, KCTC 3085, NBRC 14812, NCIMB 702048, VKM Ac-2114",1,"Brevibacterium casei",GCA_900169275
